Focal_Shar,ArcLongUTM,ArcLatUTM,DepthM,LongUTM,LatUTM
1205,630170.6587,4833426.825,3.047851,170.65873,426.82479
1205,630161.8554,4833419.102,3.047851,161.855408,419.10164
1205,630156.9407,4833417.78,3.047851,156.940664,417.77972
1205,630157.2364,4833417.944,3.047851,157.236423,417.94428
1205,630165.7723,4833441.831,3.047851,165.772327,441.83143
1205,630167.056,4833430.106,4.571777,167.05602,430.10601
1205,630161.4317,4833419.413,3.047851,161.431721,419.41271
1205,630180.2203,4833431.097,4.571777,180.220331,431.09669
1205,630165.7369,4833421.421,3.047851,165.736901,421.42073
1205,630169.9633,4833437.943,3.047851,169.96328,437.94339
1205,630179.2434,4833437.889,3.047851,179.243359,437.88932
1205,630160.0119,4833423.111,4.571777,160.011945,423.11107
1205,630152.7764,4833431.366,3.047851,152.776447,431.36551
1205,630157.0544,4833421.466,4.571777,157.054356,421.46551
1205,630160.5565,4833418.242,3.047851,160.556475,418.24224
1205,630158.4621,4833418.444,3.047851,158.462101,418.44396
1205,630157.7104,4833423.767,4.571777,157.710373,423.76708
1205,630158.0324,4833419.093,4.571777,158.032399,419.09342
1205,630158.0383,4833431.081,3.047851,158.038348,431.08072
1205,630166.1397,4833435.725,3.047851,166.139736,435.7249
1205,630160.3433,4833419.035,3.047851,160.343261,419.03494
1205,630156.7613,4833420.027,4.571777,156.761337,420.02662
1205,630159.8463,4833418.986,4.571777,159.84632,418.98628
1205,630160.6724,4833418.443,4.571777,160.672372,418.44342
1205,630158.2183,4833418.718,4.571777,158.218276,418.7184
1205,630158.1543,4833418.956,4.571777,158.154311,418.95621
1205,630159.3073,4833421.306,4.571777,159.30727,421.30644
1205,630157.1304,4833420.551,4.571777,157.130351,420.5509
1205,630158.783,4833421.675,4.571777,158.782991,421.67545
1205,630155.423,4833420.262,4.571777,155.423037,420.26169
1205,630158.953,4833418.831,4.571777,158.953027,418.83102
1205,630153.8568,4833423.241,4.571777,153.856752,423.2406
1205,630156.3327,4833425.097,4.571777,156.332705,425.09663
1205,630158.1543,4833418.956,4.571777,158.154311,418.95621
1205,630157.758,4833418.85,4.571777,157.757961,418.8496
1205,630155.2191,4833421.652,4.571777,155.219114,421.65192
1205,630175.8446,4833439.78,3.047851,175.844571,439.7803
1205,630175.5374,4833430.177,4.571777,175.537382,430.17713
1205,630162.1878,4833419.446,3.047851,162.187794,419.44606
1205,630155.0972,4833421.789,4.571777,155.097201,421.78914
1205,630166.4836,4833433.182,4.571777,166.483618,433.18224
1205,630160.8554,4833431.668,3.047851,160.855443,431.66842
1205,630175.1787,4833434.671,3.047851,175.178729,434.67093
1205,630157.5474,4833430.694,3.047851,157.547422,430.69366
1205,630167.2523,4833434.749,3.047851,167.252257,434.74906
1205,630166.5389,4833422.231,3.047851,166.538892,422.23147
1205,630157.7322,4833425.898,4.571777,157.732229,425.89808
1205,630171.951,4833438.138,3.047851,171.951047,438.13802
1205,630180.5374,4833431.182,3.047851,180.537412,431.18197
1205,630160.4203,4833422.541,4.571777,160.420326,422.54087
1205,630160.0501,4833442.247,4.571777,160.050112,442.24743
1205,630179.9869,4833436.389,3.047851,179.986866,436.3892
1205,630165.5717,4833431.832,4.571777,165.571745,431.83191
